TotalBsmtSF,ScreenPorch,PoolArea,BsmtFinSF2,LowQualFinSF,HalfBath,BsmtFinSF1,BedroomAbvGr,OpenPorchSF,BsmtHalfBath,house_Age,GarageCars,GrLivArea,WoodDeckSF,Fireplaces,LotFrontage,MasVnrArea,EnclosedPorch,2ndFlrSF,BsmtUnfSF,BsmtFullBath,3SsnPorch,LotArea,OverallCond,OverallQual,FullBath,KitchenAbvGr,SalePrice,MiscVal,MSSubClass,MSZoning,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,GarageType,MiscFeature,SaleType,SaleCondition,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,Electrical,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,PavedDrive,PoolQC,Fence
1253,0,0,0,0,1,733,2,213,0,48,1,1253,0,1,70.0,212.0,176,0,520,1,0,10920,5,6,1,1,157000,0,20,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,SBrkr,TA,Typ,Fa,RFn,TA,Y,,GdWo
832,0,0,0,0,0,0,2,112,0,78,2,854,48,0,51.0,0.0,0,0,832,0,0,6120,8,7,1,1,132000,0,45,RM,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,BrkTil,GasA,Y,Detchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,FuseA,TA,Typ,,Unf,TA,Y,,GdPrv
1004,0,0,0,0,0,578,2,0,0,40,2,1004,0,1,70.0,180.0,0,0,426,1,0,11241,7,6,1,1,149000,700,20,RL,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,Shed,WD,Normal,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,SBrkr,TA,Typ,TA,Fin,TA,Y,,
0,0,0,0,0,0,0,2,0,0,39,2,1296,0,0,72.0,0.0,0,0,0,0,0,10791,5,4,2,2,90000,500,90,RL,Lvl,Inside,Sawyer,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,,Slab,GasA,Y,CarPort,Shed,WD,Normal,Reg,Gtl,TA,TA,,,,,,TA,SBrkr,TA,Typ,,Unf,TA,Y,,
1114,0,0,0,0,1,646,3,102,0,4,2,1114,0,0,66.0,0.0,0,0,468,1,0,13695,5,5,1,1,159000,0,20,RL,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Detchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,SBrkr,Gd,Typ,,Unf,TA,Y,,
1029,0,0,0,0,0,504,3,0,0,51,1,1339,0,0,70.0,0.0,0,0,525,0,0,7560,6,5,1,1,139000,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,,CBlock,GasA,Y,Attchd,,COD,Abnorml,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,SBrkr,TA,Min1,,Unf,TA,Y,,MnPrv
1158,0,0,0,0,1,0,4,154,0,1,3,2376,240,1,101.0,380.0,0,1218,1158,0,0,14215,5,8,3,1,325300,0,60,RL,Lvl,Corner,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,BuiltIn,,New,Partial,IR1,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
637,0,0,0,0,0,0,3,0,0,77,1,1108,0,1,57.0,0.0,205,0,637,0,0,7449,7,7,1,1,139400,0,45,RM,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,FuseF,Gd,Typ,Gd,Unf,TA,N,,GdPrv
1777,0,0,0,0,0,0,3,159,0,6,2,1795,171,1,75.0,281.0,0,0,1777,0,0,9742,5,8,2,1,230000,0,20,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
1040,0,0,0,0,0,840,3,110,0,31,2,1060,100,1,44.0,0.0,0,0,200,1,0,4224,7,5,1,1,129900,0,120,RM,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,TA,SBrkr,TA,Typ,TA,Unf,TA,Y,,
1060,0,0,668,0,0,188,3,90,0,42,1,1060,406,1,70.0,0.0,0,0,204,1,0,8246,8,5,1,1,154000,0,20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,Gd,TA,TA,Mn,Rec,ALQ,Ex,SBrkr,Gd,Typ,TA,Unf,TA,Y,,MnPrv
1566,0,0,0,0,0,0,3,56,0,2,3,1600,0,1,110.0,640.0,0,0,1566,0,0,14230,5,8,2,1,256300,0,20,RL,Lvl,Corner,NridgHt,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
900,0,0,486,0,0,234,3,32,1,59,2,900,222,0,60.0,0.0,0,0,180,0,0,7200,7,5,1,1,134800,0,20,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,,CBlock,GasA,Y,Detchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,Mn,BLQ,Rec,TA,SBrkr,Gd,Typ,,Unf,TA,Y,,
1704,0,0,0,0,0,1218,3,50,0,3,3,1704,0,1,98.0,200.0,0,0,486,1,0,11478,5,8,2,1,306000,0,20,RL,Lvl,Inside,NridgHt,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
1484,0,0,0,0,0,1277,2,258,0,49,1,1600,288,2,47.0,0.0,0,0,207,1,0,16321,6,5,1,1,207500,0,20,RL,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,TA,TA,TA,Gd,BLQ,Unf,TA,SBrkr,TA,Typ,Gd,RFn,TA,Y,,
520,0,0,0,0,0,0,1,0,0,81,1,520,49,0,60.0,0.0,87,0,520,0,0,6324,6,4,1,1,68500,0,30,RM,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,BrkTil,GasA,N,Detchd,,WD,Normal,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,SBrkr,Fa,Typ,,Unf,Fa,Y,,
649,0,0,0,0,0,0,3,54,0,88,1,1317,0,0,50.0,0.0,172,668,649,0,0,8500,4,4,1,1,40000,0,70,C (all),Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,,BrkTil,GasA,N,Detchd,,WD,Normal,Reg,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,SBrkr,TA,Typ,,Unf,TA,N,,MnPrv
1228,0,0,0,0,1,0,3,65,0,42,1,1228,0,0,70.0,0.0,0,0,1228,0,0,8544,6,5,1,1,149350,0,20,RL,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,SBrkr,Gd,Typ,,Unf,TA,Y,,MnPrv
1234,0,0,0,0,0,0,3,30,0,1,2,1234,0,0,85.0,0.0,0,0,1234,0,0,11049,5,8,2,1,179900,0,20,RL,Lvl,Corner,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,SBrkr,Gd,Typ,,RFn,TA,Y,,
1398,0,0,0,0,1,1018,4,38,1,51,2,1700,0,1,70.0,0.0,0,0,380,0,0,10552,5,5,1,1,165500,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
1561,0,0,0,0,0,1153,2,47,0,2,2,1561,203,1,60.0,246.0,0,0,408,1,0,7313,5,9,2,1,277500,0,120,RL,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,SBrkr,Ex,Typ,Gd,Fin,TA,Y,,
1117,0,0,0,0,1,0,4,32,0,2,3,2452,113,1,108.0,132.0,0,1320,1117,0,0,13418,5,8,3,1,309000,0,60,RL,Lvl,Inside,NridgHt,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,BuiltIn,,WD,Normal,Reg,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,SBrkr,Gd,Typ,Gd,Fin,TA,Y,,
1097,0,0,0,0,1,0,3,64,0,15,2,1097,392,0,112.0,0.0,0,0,1097,0,0,10859,5,5,1,1,145000,0,20,RL,Lvl,Corner,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,SBrkr,TA,Typ,,Unf,TA,Y,,
1297,0,0,0,0,0,1213,3,0,1,55,2,1297,0,1,74.0,650.0,0,0,84,0,0,8532,6,5,1,1,153000,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,SBrkr,TA,Typ,TA,Fin,TA,Y,,
1057,0,0,0,0,0,731,3,52,0,57,1,1057,0,0,68.0,0.0,0,0,326,1,0,7922,7,5,1,1,109000,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,CBlock,GasA,Y,Detchd,,WD,Abnorml,Reg,Gtl,TA,Gd,TA,TA,No,GLQ,Unf,TA,SBrkr,Gd,Typ,,Unf,TA,Y,,
0,0,0,0,0,0,0,2,0,0,53,0,1152,0,0,65.0,0.0,0,0,0,0,0,6040,5,4,2,2,82000,0,90,RL,Lvl,Inside,Edwards,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,,PConc,GasA,N,,,WD,AdjLand,Reg,Gtl,TA,TA,,,,,,TA,FuseP,Fa,Typ,,,,N,,
1088,0,0,0,0,0,643,3,138,0,41,2,1324,0,1,84.0,101.0,0,0,445,0,0,8658,5,6,2,1,160000,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,,WD,Abnorml,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,SBrkr,TA,Typ,TA,RFn,TA,Y,,GdWo
1350,0,0,0,0,1,967,2,104,1,48,1,1328,0,2,115.0,0.0,0,0,383,0,0,16905,6,5,1,1,170000,0,20,RL,Lvl,Inside,Timber,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,CBlock,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,Gd,TA,TA,Gd,BLQ,Unf,Gd,SBrkr,TA,Typ,Gd,RFn,TA,P,,
840,0,0,93,0,0,747,2,0,0,24,2,884,240,0,70.0,0.0,0,0,0,1,0,9180,7,5,1,1,144000,0,85,RL,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,TA,Gd,TA,Av,ALQ,LwQ,Gd,SBrkr,Gd,Typ,,RFn,TA,Y,,MnPrv
938,0,0,491,0,0,280,3,0,0,33,1,938,145,0,70.0,0.0,0,0,167,1,0,9200,6,5,1,1,130250,0,20,RL,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,,CBlock,GasA,Y,Detchd,,WD,Normal,IR1,Gtl,TA,TA,Gd,TA,Av,LwQ,BLQ,TA,SBrkr,TA,Typ,,Unf,TA,Y,,MnPrv
1150,0,0,506,0,0,179,3,0,0,47,1,1150,0,0,70.0,0.0,0,0,465,1,0,7945,6,5,1,1,141000,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,,CBlock,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Ex,FuseA,TA,Typ,,RFn,TA,Y,,
1752,0,0,0,0,0,456,2,82,0,5,2,1752,196,1,61.0,412.0,0,0,1296,1,0,7658,5,9,2,1,319900,0,120,RL,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,SBrkr,Ex,Typ,Gd,RFn,TA,Y,,
1434,198,0,0,0,1,1351,1,43,0,6,2,2149,168,1,48.0,0.0,0,631,83,1,0,12822,5,7,1,1,239686,0,50,RL,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Attchd,,WD,Abnorml,IR1,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,SBrkr,Gd,Typ,Ex,RFn,TA,Y,,
1656,0,0,0,0,0,24,3,146,0,1,3,1656,0,0,84.0,0.0,0,0,1632,0,0,11096,5,8,2,1,249700,0,20,FV,Lvl,Inside,Somerst,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,SBrkr,Gd,Typ,,RFn,TA,Y,,
736,0,0,0,0,0,0,2,0,0,89,0,1452,0,0,33.0,0.0,102,716,736,0,0,4456,5,4,2,3,113000,0,190,RM,Lvl,Inside,OldTown,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,,BrkTil,GasA,Y,,,New,Partial,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,SBrkr,TA,Typ,,,,N,,
955,0,0,0,0,0,763,3,0,0,41,1,955,0,0,66.0,0.0,0,0,192,1,0,7742,7,5,1,1,127000,0,20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,CBlock,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,SBrkr,TA,Typ,,Unf,TA,Y,,MnPrv
794,0,0,0,0,0,182,3,75,1,10,2,1470,0,0,70.0,0.0,0,676,612,0,0,13869,6,6,2,1,177000,0,60,RL,Lvl,Corner,Gilbert,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Attchd,,WD,Normal,IR2,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,SBrkr,TA,Typ,,Fin,TA,Y,,
816,0,0,0,360,0,0,3,0,0,72,2,1176,112,1,52.0,0.0,0,0,816,0,0,6240,6,6,1,1,114500,400,50,RM,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,,PConc,GasA,Y,Detchd,Shed,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,SBrkr,TA,Typ,Gd,Unf,TA,Y,,MnPrv
816,0,0,712,0,0,104,2,0,0,47,2,816,106,0,110.0,0.0,0,0,0,1,0,8472,5,5,1,1,110000,0,90,RM,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,,CBlock,GasA,N,CarPort,,WD,Normal,IR2,Mod,Fa,TA,Gd,TA,Gd,LwQ,GLQ,TA,SBrkr,TA,Typ,,Unf,TA,Y,,
1842,0,0,0,0,1,1810,0,72,0,25,3,1842,857,1,68.0,0.0,0,0,32,2,0,50271,5,9,0,1,385000,0,20,RL,Low,Inside,Veenker,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Gd,SBrkr,Gd,Typ,Gd,Fin,TA,Y,,
384,0,0,0,0,0,384,3,50,0,52,2,1360,0,1,60.0,0.0,0,0,0,0,0,7134,5,5,1,1,130000,0,80,RL,Bnk,Inside,NAmes,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,,CBlock,GasA,Y,Detchd,,WD,Normal,Reg,Mod,TA,TA,TA,TA,No,ALQ,Unf,TA,SBrkr,TA,Min1,TA,Unf,TA,Y,,MnPrv
1425,0,0,0,0,0,490,3,0,0,44,2,1425,0,1,100.0,272.0,0,0,935,0,407,10175,5,6,2,1,180500,0,20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,CBlock,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Gd,SBrkr,TA,Typ,Gd,RFn,TA,Y,,
970,0,0,0,0,1,649,3,0,0,10,2,1739,115,0,24.0,456.0,0,756,321,1,0,2645,5,8,2,1,172500,0,160,FV,Lvl,Inside,Somerst,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Abnorml,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,SBrkr,Gd,Typ,,Fin,TA,Y,,
860,0,0,0,0,1,0,3,70,0,2,2,1720,0,0,89.0,0.0,0,860,860,0,0,11645,5,7,2,1,196500,0,60,RL,Lvl,Corner,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,SBrkr,Gd,Typ,,RFn,TA,Y,,
1410,0,0,0,0,1,0,3,0,0,0,3,2945,192,1,66.0,1031.0,37,1519,1410,0,0,13682,5,10,3,1,438780,0,60,RL,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,BuiltIn,,New,Partial,IR2,Gtl,Ex,TA,Ex,TA,Gd,Unf,Unf,Ex,SBrkr,Gd,Typ,Gd,Fin,TA,Y,,
780,0,0,0,0,0,632,2,0,0,36,1,780,196,0,60.0,0.0,0,0,148,0,0,7200,7,5,1,1,124900,0,20,RL,Bnk,Inside,CollgCr,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,CBlock,GasA,Y,Detchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,Ex,SBrkr,TA,Typ,,Unf,TA,Y,,MnPrv
1158,0,0,0,0,1,941,3,50,0,2,2,1158,0,0,63.0,0.0,0,0,217,1,0,13072,5,6,1,1,158000,0,20,RL,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,PConc,GasA,Y,Detchd,,New,Partial,Reg,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Ex,SBrkr,Gd,Typ,,Unf,TA,Y,,
